 * SECURITY EVENT SAMPLE DATA
 * 
 * Purpose: Provides realistic but 100% synthetic security event data for testing.
 * 
 * IMPORTANT:
 * - All data is artificially generated
 * - No real individuals, organizations, or incidents are represented
 * - IPs use RFC 5737 TEST-NET ranges (192.0.2.0/24, 198.51.100.0/24, 203.0.113.0/24)
 * - Timestamps range from 2023-01-01 to present											
											
event_id	 event_time	 event_type	 event_subtype	 source_ip	 user_id	 target_resource	 details	 severity	 is_malicious	 correlation_id	
1	 '2023-08-13 20:57:32'	 'authentication'	 'success'	 '10.61.249.222'	 'user86'	 'CRM'	 'System authentication event 83eb7e'	 'medium'	 FALSE	 'corr-123a1a98'	
2	 '2023-09-15 04:00:45'	 'authentication'	 'success'	 '10.159.158.68'	 'user69'	 'API Gateway'	 'System authentication event acfc0a'	 'medium'	 FALSE	 NULL	
3	 '2023-09-17 20:48:24'	 'authentication'	 'success'	 '192.0.2.203'	 NULL	 'Firewall'	 'System authentication event 94c7b0'	 'medium'	 TRUE	 NULL	
4	 '2023-10-12 02:42:40'	 'authentication'	 'success'	 '10.188.139.88'	 'user102'	 'Mobile App'	 'System authentication event 7866d3'	 'medium'	 FALSE	 NULL	
5	 '2023-01-22 03:58:31'	 'authentication'	 'success'	 '10.228.226.172'	 'user57'	 'Mobile App'	 'System authentication event 750597'	 'medium'	 FALSE	 'corr-76c076c3'	
6	 '2023-11-20 07:16:29'	 'authentication'	 'success'	 '10.0.61.39'	 'user142'	 'Mobile App'	 'System authentication event e8a3fe'	 'high'	 FALSE	 NULL	
7	 '2023-04-22 17:20:16'	 'authentication'	 'success'	 '10.49.152.89'	 NULL	 'Firewall'	 'System authentication event c76188'	 'high'	 TRUE	 NULL	
8	 '2023-06-28 23:18:02'	 'authentication'	 'success'	 '10.90.147.165'	 'user34'	 'Database'	 'System authentication event aa6b2e'	 'low'	 FALSE	 NULL	
9	 '2023-11-05 03:20:14'	 'authentication'	 'success'	 '10.224.64.43'	 'user189'	 'Mobile App'	 'System authentication event 532ad4'	 'high'	 FALSE	 'corr-e54344cd'	
10	 '2023-10-27 05:00:05'	 'authentication'	 'success'	 '10.214.11.196'	 'user180'	 'Admin Panel'	 'System authentication event 48c186'	 'medium'	 FALSE	 'corr-3c50ea1b'	
